Data,Kontrakt,Kurs pierwszej transakcji (PLN/MWh),DKR (PLN/MWh),Kurs min. na sesji (PLN/MWh),Kurs maks. na sesji (PLN/MWh),Łączny wolumen obrotu (MWh),Liczba kontraktów,Łączna wartość obrotu (PLN),Liczba transakcji,Łączna liczba otwartych pozycji LOP (MWh)
2025-11-26,PEAK5_Q-2-27,0,"451,34",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_Y-26,0,"506,50",0,0,0,0,"0,00",0,2 895 600
2025-11-26,PEAK5_Y-27,0,"510,11",0,0,0,0,"0,00",0,508 530
2025-11-26,PEAK5_Y-28,0,"492,33",0,0,0,0,"0,00",0,0
2025-11-26,PEAK5_Y-29,0,"516,17",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_W-49-25,0,"625,00",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_W-50-25,0,"615,00",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_W-51-25,0,"615,00",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_W-52-25,0,"561,59",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_W-01-26,0,"548,89",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_M-12-25,0,"601,40","600,00","602,00",3780,12,"2 273 046,30",7,39 375
2025-11-27,PEAK5_M-01-26,0,"600,00",0,0,0,0,"0,00",0,4200
2025-11-27,PEAK5_M-02-26,0,"577,09",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_M-03-26,0,"473,30",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_M-04-26,0,"424,04",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_M-05-26,0,"401,67",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Q-1-26,0,"547,65",0,0,0,0,"0,00",0,75 330
2025-11-27,PEAK5_Q-2-26,0,"418,80","418,00","420,00",15 810,17,"6 627 180,00",7,17 670
2025-11-27,PEAK5_Q-3-26,0,"470,75",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Q-4-26,0,"586,48",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Q-1-27,0,"551,38",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Q-2-27,0,"450,94",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Y-26,0,"506,00","506,00","506,00",3810,1,"1 927 860,00",1,2 895 600
2025-11-27,PEAK5_Y-27,0,"510,11",0,0,0,0,"0,00",0,508 530
2025-11-27,PEAK5_Y-28,0,"489,26",0,0,0,0,"0,00",0,0
2025-11-27,PEAK5_Y-29,0,"515,66",0,0,0,0,"0,00",0,0
